"SN","Paper Title","DOI","Authors","Author Regions","Affiliations","Year","Domain","Focus Region","Source","ORC ID"
"1","Diagnosing bias in data-driven algorithms for healthcare","doi.org/10.1038/s41591-019-0726-6","Jenna Wiens; W. Nicholson Price; Michael W. Sjoding","USA; USA; USA","University of Michigan; University of Michigan; University of Michigan","2020","Health & Clinical AI","USA","Original","https://orcid.org/0000-0002-1057-7722; https://orcid.org/0000-0003-0729-290X; https://orcid.org/0000-0002-0535-9659"
"2","Artificial intelligence and algorithmic bias: implications for health systems","doi.org/10.7189/jogh.09.020318","Trishan Panch; Heather Mattie; Rifat Atun","USA; USA; USA","Harvard University; Harvard University; Harvard Global Health Institute","2019","Health & Clinical AI","USA","Original","https://orcid.org/0000-0002-6554-061X; https://orcid.org/0000-0002-1263-2537; https://orcid.org/0000-0002-1531-5983"
"3","Artificial Intelligence in Clinical Decision Support: Challenges for Evaluating AI and Practical Implications","doi.org/10.1055/s-0039-1677903","Farah Magrabi; Elske Ammenwerth; Jytte Brender McNair; N. F. de Keizer; Hannele Hyppönen; Pirkko Nykänen; Michael Rigby; Philip Scott; Tuulikki Vehko; Zoie Shui-Yee Wong; Andrew Georgiou","Australia; Austria; Denmark; Netherlands; Finland; Finland; United Kingdom; United Kingdom; Finland; Japan; Australia","Macquarie University; UMIT - Private Universität für Gesundheitswissenschaften, Medizinische Informatik und Technik; Aalborg University; Amsterdam University Medical Centers; Finnish Institute for Health and Welfare; Tampere University; Keele University; University of Portsmouth; Finnish Institute for Health and Welfare; St. Luke's International University; Macquarie University","2019","Health & Clinical AI","Global","Original","https://orcid.org/0000-0002-8426-5588; https://orcid.org/0000-0002-3244-6918; https://orcid.org/0009-0006-0684-8143; N/A; https://orcid.org/0000-0002-3914-5640; N/A; https://orcid.org/0000-0003-1342-6177; https://orcid.org/0000-0002-6289-4260; https://orcid.org/0000-0002-0034-8379; https://orcid.org/0000-0003-4499-9779; https://orcid.org/0000-0002-7619-3668"
"4","Artificial intelligence bias in medical system designs: a systematic review","doi.org/10.1007/s11042-023-16029-x","Ashish Kumar; Vivekanand Aelgani; Rubeena Vohra; Suneet Kumar Gupta; Mrinalini Bhagawati; Sudip Paul; Luca Saba; Neha Suri; Narendra N. Khanna; John R. Laird; Amer M. Johri; Manudeep Kalra; Mostafa M. Fouda; Mostafa Fatemi; Subbaram Naidu; Jasjit S. Suri","India; India; India; India; India; India; Italy; USA; India; USA; USA; Canada; USA; USA; USA; USA","Bennett University; CMR University; Bharati Vidyapeeth Deemed University; Bennett University; North Eastern Hill University; North Eastern Hill University; University of Cagliari; ; ; St. Helena Hospital; Queen's University; Massachusetts General Hospital; Idaho State University; Mayo Clinic; University of Minnesota, Duluth;","2023","Health & Clinical AI","Global","Original","https://orcid.org/0000-0003-2905-3563; https://orcid.org/0000-0003-4106-7482; https://orcid.org/0000-0003-0613-9954; https://orcid.org/0000-0002-0757-1290; https://orcid.org/0000-0001-6804-5000; https://orcid.org/0000-0001-9856-539X; https://orcid.org/0000-0003-3610-8526; N/A; https://orcid.org/0000-0002-6935-0039; https://orcid.org/0000-0003-2095-2191; https://orcid.org/0000-0001-7044-8212; N/A; https://orcid.org/0000-0003-1790-8640; https://orcid.org/0000-0002-6603-9077; N/A; https://orcid.org/0000-0001-6499-396X"
"5","Inherent Bias in Artificial Intelligence-Based Decision Support Systems for Healthcare","doi.org/10.3390/medicina56030141","Varadraj P. Gurupur; Thomas T. H. Wan","USA; USA","University of Central Florida; University of Central Florida","2020","Health & Clinical AI","USA","Original","https://orcid.org/0000-0001-5723-7998; https://orcid.org/0000-0002-5235-4586"
"6","Algorithmic bias in data-driven innovation in the age of AI","doi.org/10.1016/j.ijinfomgt.2021.102387","Shahriar Akter; Grace McCarthy; Shahriar Sajib; Katina Michael; Yogesh K. Dwivedi; John D'Ambra; Kathy Ning Shen","Australia; Australia; Australia; USA; United Kingdom; Australia; United Arab Emirates","University of Wollongong; University of Wollongong; University of Technology Sydney; Arizona State University; Swansea University; UNSW Sydney; United Arab Emirates University","2021","General Fairness & Bias Mitigation","Australia","Original","https://orcid.org/0000-0002-2050-9985; https://orcid.org/0000-0002-3040-2815; https://orcid.org/0000-0003-0209-7718; https://orcid.org/0000-0003-3118-5557; https://orcid.org/0000-0002-5547-9990; https://orcid.org/0000-0002-2914-1101; https://orcid.org/0000-0002-3686-7568"
"7","Fairness Constraints: Mechanisms for Fair Classification","doi.org/10.48550/arXiv.1507.05259","Muhammad Bilal Zafar; Isabel Valera; Manuel Gomez-Rodriguez; Krishna P. Gummadi","Germany; Germany; Germany; Germany","Max Planck Institute for Software Systems; Max Planck Institute for Software Systems; Max Planck Institute for Software Systems; Max Planck Institute for Software Systems","2015","General Fairness & Bias Mitigation","Global","Original","https://orcid.org/0000-0001-6329-303X; https://orcid.org/0000-0002-6440-4376; https://orcid.org/0000-0003-3930-1161; https://orcid.org/0000-0003-1256-8800"
"8","Bias Mitigation for Machine Learning Classifiers: A Comprehensive Survey","doi.org/10.48550/arXiv.2207.07068","Max Hort; Zhenpeng Chen; Jie M. Zhang; Federica Sarro; Mark Harman","Norway; United Kingdom; United Kingdom; United Kingdom; United Kingdom","Simula Research Laboratory; University College London; King’s College London; University College London; University College London","2022","General Fairness & Bias Mitigation","Global","Original","https://orcid.org/0000-0001-8684-5909; https://orcid.org/0000-0002-4765-1893; https://orcid.org/0000-0003-0481-7264; https://orcid.org/0000-0002-5864-4488; https://orcid.org/0000-0002-9146-442X"
"9","Fairness And Bias in Artificial Intelligence: A Brief Survey of Sources Impacts And Mitigation Strategies","doi.org/10.3390/sci6010003","Emilio Ferrara","USA","University of Southern California","2023","General Fairness & Bias Mitigation","Global","Original","https://orcid.org/0000-0002-1942-2831"
"10","Enforcing Group Fairness in Algorithmic Decision Making: Utility Maximization Under Sufficiency","doi.org/10.48550/arXiv.2206.02237","Joachim Baumann; Anikó Hannák; Christoph Heitz","Switzerland; Switzerland; Switzerland","University of Zurich; Zurich University of Applied Sciences; Zurich University of Applied Sciences","2022","General Fairness & Bias Mitigation","Global","Original","https://orcid.org/0000-0003-2019-4829; https://orcid.org/0000-0002-0612-6320; https://orcid.org/0000-0002-6683-4150"
"11","Semantic Web technologies and bias in artificial intelligence: A systematic literature review","doi.org/10.3233/SW-223041","Paula Reyero Lobo; Enrico Daga; Harith Alani; Miriam Fernández","United Kingdom; United Kingdom; United Kingdom; United Kingdom","The Open University; Open Knowledge (UK); Open Knowledge (UK); Open Knowledge (UK)","2023","Graph-Based Fairness & Bias Mitigation","Global","Original","https://orcid.org/0000-0001-5238-4550; https://orcid.org/0000-0002-3184-5407; https://orcid.org/0000-0003-2784-349X; https://orcid.org/0000-0001-5939-4321"
"12","Bias in data-driven artificial intelligence systems—An introductory survey","doi.org/10.48550/arXiv.2001.09762","Eirini Ntoutsi; Pavlos Fafalios; Ujwal Gadiraju; Vasileios Iosifidis; Wolfgang Nejdl; María-Esther Vidal; Salvatore Ruggieri; Franco Turini; Symeon Papadopoulos; Emmanouil Krasanakis; Ioannis Kompatsiaris; Katharina Kinder-Kurlanda; Claudia Wagner; Fariba Karimi; Miriam Fernández; Harith Alani; Bettina Berendt; Tina Kruegel; Christian Heinze; Klaus Broelemann; Gjergji Kasneci; Thanassis Tiropanis; Steffen Staab","Germany; Greece; Netherlands; Germany; Germany; Germany; Italy; Italy; Greece; Greece; Greece; Austria; Germany; Austria; Chile; United Kingdom; Belgium; Germany; Germany; Germany; Germany; United Kingdom; Germany","L3S Research Center & Leibniz University Hannover; Institute of Computer Science, FORTH-ICS; TIB Leibniz Information Centre for Science and Technology; KDDLAB, Dipartimento di Informatica, Università di Pisa; Information Technologies Institute, CERTH; GESIS Leibniz Institute for the Social Sciences; Knowledge Media Institute, The Open University; Faculty of Electrical Engineering and Computer Science, KU Leuven; Institute for Legal Informatics, Leibniz University of Hanover; Innovation Lab, SCHUFA Holding AG; Electronics and Computer Science, University of Southampton; IPVS, Universität Stuttgart","2019","General Fairness & Bias Mitigation","European","Original","https://orcid.org/0000-0001-5729-1003; https://orcid.org/0000-0003-2788-526X; https://orcid.org/0000-0002-6189-6539; https://orcid.org/0000-0002-3005-4507; https://orcid.org/0000-0003-3374-2193; https://orcid.org/0000-0003-1160-8727; https://orcid.org/0000-0002-1917-6087; https://orcid.org/0000-0001-6789-5476; https://orcid.org/0000-0002-5441-7341; https://orcid.org/0000-0002-3947-222X; https://orcid.org/0000-0001-6447-9020; https://orcid.org/0000-0002-7749-645X; https://orcid.org/0000-0002-0640-8221; https://orcid.org/0000-0002-0037-2475; https://orcid.org/0000-0001-5939-4321; https://orcid.org/0000-0003-2784-349X; https://orcid.org/0000-0002-8003-3413; N/A; https://orcid.org/0000-0002-9114-8080; N/A; N/A; https://orcid.org/0000-0002-6195-2852; https://orcid.org/0000-0002-0780-4154"
"13","Are AI systems biased against the poor? A machine learning analysis using Word2Vec and GloVe embeddings","doi.org/10.1007/s00146-022-01494-z","Georgina Curto; Mario Jojoa; Flávio Comim; Begonya García-Zapirain","Spain; Spain; Spain; Spain","Universitat Ramon Llull; Universidad de Deusto; Universitat Ramon Llull; Universidad de Deusto","2022","LLMs & NLP","Global","Original","https://orcid.org/0000-0002-8232-3131; https://orcid.org/0000-0002-6578-071X; https://orcid.org/0000-0003-0941-734X; https://orcid.org/0000-0002-9356-1186"
