SN,Paper Title,DOI,Domain,Year,umap_x,umap_y,cited_by_count,is_oa,oa_status,oa_url
2,Artificial intelligence and algorithmic bias: implications for health systems,doi.org/10.7189/jogh.09.020318,Health & Clinical AI,2019,4.4595304,-3.6709685,499,True,gold,https://doi.org/10.7189/jogh.09.020318
3,Artificial Intelligence in Clinical Decision Support: Challenges for Evaluating AI and Practical Implications,doi.org/10.1055/s-0039-1677903,Health & Clinical AI,2019,2.2569187,-1.5400305,335,True,hybrid,http://www.thieme-connect.de/products/ejournals/pdf/10.1055/s-0039-1677903.pdf
4,Artificial intelligence bias in medical system designs: a systematic review,doi.org/10.1007/s11042-023-16029-x,Health & Clinical AI,2023,6.563291,-3.3942938,57,True,bronze,https://link.springer.com/content/pdf/10.1007/s11042-023-16029-x.pdf
5,Inherent Bias in Artificial Intelligence-Based Decision Support Systems for Healthcare,doi.org/10.3390/medicina56030141,Health & Clinical AI,2020,2.3392966,-2.2076168,46,True,gold,https://www.mdpi.com/1648-9144/56/3/141/pdf?version=1616053024
6,Algorithmic bias in data-driven innovation in the age of AI,doi.org/10.1016/j.ijinfomgt.2021.102387,General Fairness & Bias Mitigation,2021,1.6233611,-3.1752234,403,False,closed,
7,Fairness Constraints: Mechanisms for Fair Classification,doi.org/10.48550/arXiv.1507.05259,General Fairness & Bias Mitigation,2015,6.6749353,-3.0961754,335,True,green,https://arxiv.org/pdf/1507.05259
8,Bias Mitigation for Machine Learning Classifiers: A Comprehensive Survey,doi.org/10.48550/arXiv.2207.07068,General Fairness & Bias Mitigation,2022,6.2877903,-2.705,23,True,green,https://arxiv.org/pdf/2207.07068
9,Fairness And Bias in Artificial Intelligence: A Brief Survey of Sources Impacts And Mitigation Strategies,doi.org/10.3390/sci6010003,General Fairness & Bias Mitigation,2023,3.6834323,-2.2693455,668,True,gold,https://www.mdpi.com/2413-4155/6/1/3/pdf?version=1703577406
10,Enforcing Group Fairness in Algorithmic Decision Making: Utility Maximization Under Sufficiency,doi.org/10.48550/arXiv.2206.02237,General Fairness & Bias Mitigation,2022,6.5398183,-3.650143,0,True,green,https://doi.org/10.48550/arxiv.2206.02237
11,Semantic Web technologies and bias in artificial intelligence: A systematic literature review,doi.org/10.3233/SW-223041,Graph-Based Fairness & Bias Mitigation,2023,4.9374495,-1.886376,24,True,hybrid,https://content.iospress.com:443/download/semantic-web/sw223041?id=semantic-web%2Fsw223041
12,Bias in data-driven artificial intelligence systems—An introductory survey,doi.org/10.48550/arXiv.2001.09762,General Fairness & Bias Mitigation,2019,4.691384,-2.1807578,21,True,green,https://arxiv.org/pdf/2001.09762
13,Are AI systems biased against the poor? A machine learning analysis using Word2Vec and GloVe embeddings,doi.org/10.1007/s00146-022-01494-z,LLMs & NLP,2022,5.156484,-0.60996425,52,True,hybrid,https://link.springer.com/content/pdf/10.1007/s00146-022-01494-z.pdf
14,Sources of bias in artificial intelligence that perpetuate healthcare disparities—A global review,doi.org/10.1371/journal.pdig.0000022,Health & Clinical AI,2022,1.6955229,-1.8019084,0,False,closed,
15,Analysis of Countries in Terms of Artificial Intelligence Technologies: PROMETHEE and GAIA Method Approach,doi.org/10.3390/su15054604,General Fairness & Bias Mitigation,2022,3.296196,-2.4748595,23,True,gold,https://www.mdpi.com/2071-1050/15/5/4604/pdf?version=1677924429
16,Evaluation and Mitigation of Racial Bias in Clinical Machine Learning Models: Scoping Review,doi.org/10.2196/36388,Health & Clinical AI,2022,1.4280194,-2.8826387,180,True,gold,https://jmir.org/api/download?alt_name=medinform_v10i5e36388_app1.pdf&filename=913eebeab355f3bafc031318200c7560.pdf
17,Towards Debiasing Sentence Representations,doi.org/10.48550/arXiv.2007.08100,LLMs & NLP,2020,5.225571,-0.1812538,7,True,green,https://arxiv.org/pdf/2007.08100
18,Algorithmic Bias in Autonomous Systems,doi.org/10.24963/ijcai.2017/654,General Fairness & Bias Mitigation,2017,4.471445,-3.328256,440,True,gold,https://www.ijcai.org/proceedings/2017/0654.pdf
19,Meritocratic Fairness for Infinite and Contextual Bandits,doi.org/10.1145/3278721.3278764,General Fairness & Bias Mitigation,2018,6.7969007,-3.7286918,21,False,closed,
20,Trustworthy AI: A Computational Perspective,doi.org/10.48550/arXiv.2107.06641,General Fairness & Bias Mitigation,2022,4.7771087,-2.568558,2,True,green,https://arxiv.org/pdf/2107.06641
21,A Survey on Datasets for Fairness-Aware ML,doi.org/10.48550/arXiv.2110.00530,General Fairness & Bias Mitigation,2021,6.241868,-2.38796,12,True,green,https://doi.org/10.48550/arxiv.2110.00530
22,A Comprehensive Empirical Study of Bias Mitigation Methods for Machine Learning Classifiers,doi.org/10.48550/arXiv.2207.03277,General Fairness & Bias Mitigation,2023,6.0224104,-2.8582861,13,True,green,https://arxiv.org/pdf/2207.03277
23,Ignorance and Prejudice in Software Fairness,doi.org/10.1109/ICSE43902.2021.00129,General Fairness & Bias Mitigation,2021,6.224626,-2.9393556,69,True,green,https://discovery.ucl.ac.uk/10123814/1/ICSE2021__Ignorance_Prejudice%20%285%29.pdf
24,Removing Biased Data to Improve Fairness and Accuracy,doi.org/10.48550/arXiv.2102.03054,General Fairness & Bias Mitigation,2021,5.671517,-2.5132933,10,True,green,https://arxiv.org/pdf/2102.03054
25,FAIR MIXUP: Fairness via Interpolation,doi.org/10.48550/arXiv.2103.06503,General Fairness & Bias Mitigation,2021,6.5811353,-2.347359,11,True,green,https://arxiv.org/pdf/2103.06503
26,Mitigating Unwanted Biases with Adversarial Learning,doi.org/10.48550/arXiv.1801.07593,General Fairness & Bias Mitigation,2018,6.740702,-2.2518015,98,True,gold,https://dl.acm.org/doi/pdf/10.1145/3278721.3278779
27,Black Box Fairness Testing of Machine Learning Models,doi.org/10.1145/3338906.3338937,General Fairness & Bias Mitigation,2019,5.6828732,-2.4117017,180,False,closed,
