SN,Paper Title,Domain,Year,cited_by_count,in_degree_corpus,out_degree_corpus
369,Fairness through awareness,General Fairness & Bias Mitigation,2012,3331,129,0
40,Certifying and Removing Disparate Impact,General Fairness & Bias Mitigation,2015,1767,73,1
359,Dissecting racial bias in an algorithm used to manage the health of populations,Health & Clinical AI,2019,5913,63,3
361,Fairness definitions explained,General Fairness & Bias Mitigation,2018,1046,55,3
348,On the Dangers of Stochastic Parrots,LLMs & NLP,2021,5297,53,1
367,Equality of Opportunity in Supervised Learning,General Fairness & Bias Mitigation,2016,1915,51,1
514,Fairness and Abstraction in Sociotechnical Systems,General Fairness & Bias Mitigation,2019,1324,51,3
38,Big Data's Disparate Impact,General Fairness & Bias Mitigation,2016,2128,49,0
358,Model Cards for Model Reporting,General Fairness & Bias Mitigation,2019,1605,44,1
65,Counterfactual Fairness,General Fairness & Bias Mitigation,2017,870,37,3
364,Ensuring Fairness in Machine Learning to Advance Health Equity,Health & Clinical AI,2018,1134,26,0
362,Word embeddings quantify 100 years of gender and ethnic stereotypes,LLMs & NLP,2018,1081,25,0
528,Towards a Critical Race Methodology in Algorithmic Fairness,General Fairness & Bias Mitigation,2020,287,24,6
360,The Measure and Mismeasure of Fairness,General Fairness & Bias Mitigation,2018,474,23,4
550,Measurement and Fairness,General Fairness & Bias Mitigation,2021,202,21,3
66,Algorithmic Fairness: Choices Assumptions and Definitions,General Fairness & Bias Mitigation,2021,556,20,12
94,Bias in data-driven artificial intelligence systems—An introductory survey (2nd entry),Graph-Based Fairness & Bias Mitigation,2020,976,20,6
529,Mitigating Bias in Algorithmic Hiring: Evaluating Claims and Practices,General Fairness & Bias Mitigation,2020,634,20,3
538,Fairness Is Not Static: Deeper Understanding of Long Term Fairness via Agents and Environments,General Fairness & Bias Mitigation,2020,160,19,2
356,Hidden in Plain Sight — Reconsidering the Use of Race Correction in Clinical Algorithms,Health & Clinical AI,2020,1639,19,1
32,A Review on Fairness in Machine Learning,General Fairness & Bias Mitigation,2022,527,18,6
388,Bias and Debias in Recommender System: A Survey and Future Directions,Recommender Systems,2022,603,18,8
368,Man is to Computer Programmer as Woman is to Homemaker? Debiasing Word Embeddings,LLMs & NLP,2016,1362,17,2
512,Bias in Bios: A Case Study of Semantic Representation Bias in a High-Stakes Setting,LLMs & NLP,2019,282,17,2
365,"The accuracy, fairness, and limits of predicting recidivism",General Fairness & Bias Mitigation,2018,1009,17,0
545,BOLD: Dataset and Metrics for Measuring Biases in Open-Ended Language Generation,LLMs & NLP,2021,191,16,0
566,Taxonomy of Risks posed by Language Models,LLMs & NLP,2022,606,14,2
515,Problem Formulation and Fairness,General Fairness & Bias Mitigation,2019,210,14,0
516,Racial categories in machine learning,General Fairness & Bias Mitigation,2019,106,12,4
76,Bias and Fairness in Large Language Models: A Survey,LLMs & NLP,2024,476,12,12
74,Towards a Fair Marketplace: Fairness & Satisfaction in Recommender Systems,Recommender Systems,2022,274,12,1
7,Fairness Constraints: Mechanisms for Fair Classification,General Fairness & Bias Mitigation,2015,335,12,0
45,Towards Personalized Fairness Based on Causal Notion,Recommender Systems,2021,133,11,6
351,Underdiagnosis bias of artificial intelligence algorithms applied to chest radiographs in under-served patient populations,Health & Clinical AI,2021,745,11,6
52,Fairness in Machine Learning: A Survey,General Fairness & Bias Mitigation,2023,433,11,16
610,Easily Accessible Text-to-Image Generation Amplifies Demographic Stereotypes at Large Scale,LLMs & NLP,2023,265,10,3
36,Fairness in Machine Learning,General Fairness & Bias Mitigation,2020,298,10,5
27,Black Box Fairness Testing of Machine Learning Models,General Fairness & Bias Mitigation,2019,180,10,2
350,Ethical Machine Learning in Healthcare,Health & Clinical AI,2021,465,9,5
37,Fairness-Aware Explainable Recommendation over Knowledge Graphs,Recommender Systems,2020,189,9,4
543,Image Representations Learned With Unsupervised Pre-Training Contain Human-like Biases,General Fairness & Bias Mitigation,2021,152,9,5
357,Ethical limitations of algorithmic fairness solutions in health care machine learning,Health & Clinical AI,2020,258,9,2
9,Fairness And Bias in Artificial Intelligence: A Brief Survey of Sources Impacts And Mitigation Strategies,General Fairness & Bias Mitigation,2023,668,9,7
608,"""I'm Fully Who I Am"": Towards Centering Transgender and Non-Binary Voices to Measure Biases in Open Language Generation",LLMs & NLP,2023,38,9,1
524,Dissecting Racial Bias in an Algorithm that Guides Health Decisions for 70 Million People,Health & Clinical AI,2019,119,9,0
54,Fairway: A Way to Build Fair ML Software,General Fairness & Bias Mitigation,2020,119,8,2
383,Assessing the potential of GPT-4 to perpetuate racial and gender biases in health care: a model evaluation study,LLMs & NLP,2023,427,8,1
571,"Are ""Intersectionally Fair"" AI Algorithms Really Fair to Women of Color? A Philosophical Analysis",General Fairness & Bias Mitigation,2022,56,8,1
330,Algorithmic fairness in artificial intelligence for medicine and healthcare,Health & Clinical AI,2023,558,8,12
42,Fairness in Recommendation: Foundations Methods and Applications,Recommender Systems,2023,83,8,12
548,Fairness Violations and Mitigation under Covariate Shift,General Fairness & Bias Mitigation,2021,40,8,0
18,Algorithmic Bias in Autonomous Systems,General Fairness & Bias Mitigation,2017,440,8,1
536,The False Promise of Risk Assessments: Epistemic Reform and the Limits of Fairness,General Fairness & Bias Mitigation,2020,82,7,2
343,Algorithmic fairness in computational medicine,Health & Clinical AI,2022,142,7,7
346,EDITS: Modeling and Mitigating Data Bias for Graph Neural Networks,Graph-Based Fairness & Bias Mitigation,2022,118,7,5
14,Sources of bias in artificial intelligence that perpetuate healthcare disparities—A global review,Health & Clinical AI,2022,485,7,0
352,Addressing bias in big data and AI for health care: A call for open science,Health & Clinical AI,2021,772,7,3
31,A Survey on Bias and Fairness in Machine Learning,General Fairness & Bias Mitigation,2021,317,7,13
575,Demographic-Reliant Algorithmic Fairness: Characterizing the Risks of Demographic Data Collection in the Pursuit of Fairness,General Fairness & Bias Mitigation,2022,46,7,8
513,50 Years of Test (Un)fairness: Lessons for Machine Learning,General Fairness & Bias Mitigation,2019,126,7,4
568,"Towards Intersectionality in Machine Learning: Including More Identities, Handling Underrepresentation, and Performing Evaluation",General Fairness & Bias Mitigation,2022,84,7,7
363,AI can be sexist and racist — it’s time to make it fair,General Fairness & Bias Mitigation,2018,745,7,2
402,Fairness in Graph Mining: A Survey,Graph-Based Fairness & Bias Mitigation,2023,124,7,8
570,The Road to Explainability is Paved with Bias: Measuring the Fairness of Explanations,General Fairness & Bias Mitigation,2022,65,7,2
449,"WEIRD FAccTs: How Western, Educated, Industrialized, Rich, and Democratic is FAccT?",General Fairness & Bias Mitigation,2023,46,7,2
531,Bias in Word Embeddings,LLMs & NLP,2020,87,6,3
264,Comprehensive Fair Meta-learned Recommender System,Recommender Systems,2022,47,6,0
576,"Fair Ranking: A Critical Review, Challenges, and Future Directions",General Fairness & Bias Mitigation,2022,45,6,6
577,"Theories of ""Gender"" in NLP Bias Research",LLMs & NLP,2022,43,6,1
333,Bias in artificial intelligence algorithms and recommendations for mitigation,General Fairness & Bias Mitigation,2023,533,6,4
335,"“Kelly is a Warm Person, Joseph is a Role Model”: Gender Biases in LLM-Generated Reference Letters",LLMs & NLP,2023,104,6,5
555,Fairness in Risk Assessment Instruments: Post-Processing to Achieve Counterfactual Equalized Odds,General Fairness & Bias Mitigation,2021,50,6,3
619,"""I Wouldn't Say Offensive but..."": Disability-Centered Perspectives on Large Language Models",LLMs & NLP,2023,131,5,6
349,Machine learning and algorithmic fairness in public and population health,Health & Clinical AI,2021,208,5,6
584,Markedness in Visual Semantic AI,General Fairness & Bias Mitigation,2022,28,5,2
617,Bias Against 93 Stigmatized Groups in Masked Language Models and Downstream Sentiment Classification Tasks,LLMs & NLP,2023,46,5,0
2,Artificial intelligence and algorithmic bias: implications for health systems,Health & Clinical AI,2019,499,5,1
353,Moving beyond “algorithmic bias is a data problem”,General Fairness & Bias Mitigation,2021,165,5,2
491,Understanding accountability in algorithmic supply chains,General Fairness & Bias Mitigation,2023,75,5,4
57,Bias in Machine Learning Software: Why? How? What to Do?,General Fairness & Bias Mitigation,2021,166,5,2
16,Evaluation and Mitigation of Racial Bias in Clinical Machine Learning Models: Scoping Review,Health & Clinical AI,2022,180,5,7
523,Measuring the Biases that Matter: The Ethical and Causal Foundations for Measures of Fairness in Algorithms,General Fairness & Bias Mitigation,2019,51,5,3
490,Envisioning Equitable Speech Technologies for Black Older Adults,LLMs & NLP,2023,40,5,6
535,Case Study: Predictive Fairness to Reduce Misdemeanor Recidivism Through Social Service Interventions,General Fairness & Bias Mitigation,2020,32,5,3
29,Fairea: A Model Behaviour Mutation Approach to Benchmarking Bias Mitigation Methods,General Fairness & Bias Mitigation,2021,68,5,7
56,Fair Preprocessing: Understanding Compositional Fairness of Data Transformers in ML Pipeline,General Fairness & Bias Mitigation,2021,94,4,5
396,Evaluating and mitigating bias in machine learning models for cardiovascular disease prediction,Health & Clinical AI,2023,72,4,4
641,Identifying and Improving Disability Bias in GPT-Based Resume Screening,LLMs & NLP,2024,62,4,3
561,Can You Fake It Until You Make It? Impacts of Differentially Private GAN Outputs in Clinical Settings,Health & Clinical AI,2021,38,4,2
527,FlipTest: Fairness Testing via Optimal Transport,General Fairness & Bias Mitigation,2020,53,4,3
366,Fair Prediction with Disparate Impact: A Study of Bias in Recidivism Prediction Instruments,General Fairness & Bias Mitigation,2017,158,4,2
30,Machine Learning Fairness Notions: Bridging the Gap with Real-World Applications,General Fairness & Bias Mitigation,2021,53,4,10
355,Racial Bias in Pulse Oximetry Measurement,Health & Clinical AI,2020,995,4,0
