Country,Domain,Count
Algeria,Recommender Systems,1
Australia,General Fairness & Bias Mitigation,2
Australia,Graph-Based Fairness & Bias Mitigation,1
Australia,Health & Clinical AI,5
Australia,LLMs & NLP,1
Australia,Recommender Systems,1
Austria,General Fairness & Bias Mitigation,1
Austria,Recommender Systems,1
Bangladesh,General Fairness & Bias Mitigation,1
Belgium,General Fairness & Bias Mitigation,2
Belgium,Recommender Systems,1
Brazil,General Fairness & Bias Mitigation,1
Brazil,Graph-Based Fairness & Bias Mitigation,1
Brazil,Health & Clinical AI,1
Bulgaria,LLMs & NLP,1
Canada,General Fairness & Bias Mitigation,3
Canada,Health & Clinical AI,7
Canada,LLMs & NLP,3
Canada,Recommender Systems,1
China,General Fairness & Bias Mitigation,4
China,Graph-Based Fairness & Bias Mitigation,4
China,Health & Clinical AI,5
China,LLMs & NLP,26
China,Recommender Systems,12
Colombia,General Fairness & Bias Mitigation,1
Denmark,LLMs & NLP,1
Denmark,Recommender Systems,2
Egypt,Graph-Based Fairness & Bias Mitigation,1
Finland,LLMs & NLP,2
France,General Fairness & Bias Mitigation,6
France,Graph-Based Fairness & Bias Mitigation,2
France,Health & Clinical AI,2
Germany,General Fairness & Bias Mitigation,15
Germany,Graph-Based Fairness & Bias Mitigation,4
Germany,Health & Clinical AI,4
Germany,LLMs & NLP,4
Ghana,LLMs & NLP,1
Greece,General Fairness & Bias Mitigation,1
Greece,Graph-Based Fairness & Bias Mitigation,2
Hong Kong,General Fairness & Bias Mitigation,1
Hong Kong,Recommender Systems,3
India,General Fairness & Bias Mitigation,4
India,Graph-Based Fairness & Bias Mitigation,1
India,Health & Clinical AI,5
India,LLMs & NLP,5
India,Recommender Systems,2
Indonesia,Recommender Systems,3
Iran,General Fairness & Bias Mitigation,1
Ireland,General Fairness & Bias Mitigation,2
Ireland,Recommender Systems,1
Israel,General Fairness & Bias Mitigation,3
Israel,Graph-Based Fairness & Bias Mitigation,1
Israel,Health & Clinical AI,1
Israel,LLMs & NLP,1
Italy,General Fairness & Bias Mitigation,10
Italy,Health & Clinical AI,2
Italy,LLMs & NLP,2
Italy,Recommender Systems,3
Japan,Graph-Based Fairness & Bias Mitigation,1
Japan,Health & Clinical AI,1
Japan,LLMs & NLP,1
Japan,Recommender Systems,2
Jordan,General Fairness & Bias Mitigation,1
Kenya,Health & Clinical AI,1
Luxembourg,Graph-Based Fairness & Bias Mitigation,1
Luxembourg,Recommender Systems,1
Macau,LLMs & NLP,1
Malaysia,General Fairness & Bias Mitigation,1
Malaysia,Health & Clinical AI,2
Malaysia,LLMs & NLP,1
Morocco,Health & Clinical AI,1
Netherlands,General Fairness & Bias Mitigation,3
Netherlands,Graph-Based Fairness & Bias Mitigation,1
Netherlands,Health & Clinical AI,1
Netherlands,LLMs & NLP,1
Netherlands,Recommender Systems,5
New Zealand,LLMs & NLP,2
New Zealand,Recommender Systems,1
Norway,General Fairness & Bias Mitigation,1
Pakistan,Health & Clinical AI,1
Qatar,Health & Clinical AI,1
Romania,Health & Clinical AI,1
Russia,Health & Clinical AI,1
Saudi Arabia,Health & Clinical AI,1
Singapore,General Fairness & Bias Mitigation,4
Singapore,Graph-Based Fairness & Bias Mitigation,1
Singapore,Health & Clinical AI,2
South Africa,Health & Clinical AI,2
South Korea,General Fairness & Bias Mitigation,2
South Korea,Graph-Based Fairness & Bias Mitigation,1
South Korea,LLMs & NLP,1
Spain,General Fairness & Bias Mitigation,2
Spain,Graph-Based Fairness & Bias Mitigation,1
Spain,Health & Clinical AI,3
Spain,LLMs & NLP,2
Sweden,General Fairness & Bias Mitigation,2
Sweden,LLMs & NLP,1
Sweden,Recommender Systems,1
Switzerland,General Fairness & Bias Mitigation,6
Switzerland,Health & Clinical AI,2
Switzerland,Recommender Systems,1
Taiwan,General Fairness & Bias Mitigation,1
Taiwan,LLMs & NLP,3
Thailand,Health & Clinical AI,1
Thailand,LLMs & NLP,1
Turkey,General Fairness & Bias Mitigation,1
Turkey,Health & Clinical AI,1
Turkey,Recommender Systems,2
UK,General Fairness & Bias Mitigation,19
UK,Graph-Based Fairness & Bias Mitigation,2
UK,Health & Clinical AI,6
UK,LLMs & NLP,6
UK,Recommender Systems,2
USA,General Fairness & Bias Mitigation,102
USA,Graph-Based Fairness & Bias Mitigation,13
USA,Health & Clinical AI,45
USA,LLMs & NLP,41
USA,Recommender Systems,15
United Arab Emirates,General Fairness & Bias Mitigation,2
United Arab Emirates,LLMs & NLP,1
Vietnam,LLMs & NLP,1
