Author,Papers,Countries,repeat
Alexandra Chouldechova,10,USA,True
Solon Barocas,7,USA,True
Yongfeng Zhang,7,USA,True
Marzyeh Ghassemi,6,Canada; USA,True
Kai-Wei Chang,6,USA,True
Aylin Caliskan,6,USA,True
Federica Sarro,6,UK,True
Jie M. Zhang,6,UK,True
Robin Burke,6,USA,True
Mark Harman,5,UK,True
Ben Hutchinson,5,Australia; USA,True
James Zou,5,USA,True
Shuyuan Xu,5,USA,True
Jatinder Singh,5,UK,True
Yingqiang Ge,5,USA,True
Wenbin Zhang,4,USA,True
Max Hort,4,Norway; UK,True
Sorelle A. Friedler,4,USA,True
Leo Anthony Celi,4,Germany; USA,True
Dana Pessach,4,Israel; USA,True
Suresh Venkatasubramanian,4,USA,True
Elke A. Rundensteiner,4,USA,True
Rumi Chunara,4,USA,True
Margaret Mitchell,4,USA,True
Yushun Dong,4,USA,True
Kathleen Cachel,4,USA,True
Zhenpeng Chen,4,China; UK,True
Jundong Li,4,USA,True
Daniel E. Ho,4,USA,True
Vishwali Mhasawade,4,USA,True
Angelina Wang,4,USA,True
Yunqi Li,4,USA,True
Olga Russakovsky,3,USA,True
Richard S. Zemel,3,Canada; USA,True
Krishna P. Gummadi,3,Germany,True
Allison Koenecke,3,USA,True
Xu Chen,3,China,True
Kinjal Basu,3,USA,True
Shalmali Joshi,3,Canada,True
Nicholas Mattei,3,USA,True
Amanda Aird,3,USA,True
Liang Pang,3,China,True
Amanda Coston,3,USA,True
Orestis Papakyriakopoulos,3,Germany; USA,True
Yikun Xian,3,USA,True
Moritz Hardt,3,Germany; USA,True
Vasileios Iosifidis,3,Germany,True
Jieyu Zhao,3,USA,True
Edward H. Kennedy,3,USA,True
Jun Xu,3,China,True
Judy Wawira Gichoya,3,Netherlands; USA,True
Anikó Hannák,3,Switzerland,True
Arjun Roy,3,Germany,True
Cyrus DiCiccio,3,USA,True
Christoph Heitz,3,Switzerland,True
Eirini Ntoutsi,3,Germany,True
Irene Y. Chen,3,USA,True
Anay Mehrotra,3,India; USA,True
Preetam Nandy,3,USA,True
L. Elisa Celis,3,USA,True
Elena Štefancová,3,Slovakia,True
Mengnan Du,3,USA,True
Iason Gabriel,3,UK,True
Emily Black,3,USA,True
Timnit Gebru,3,USA,True
Erez Shmueli,3,Israel,True
Nisheeth K. Vishnoi,3,USA,True
Haoran Zhang,3,USA,True
Hanna Wallach,3,UK; USA,True
Emily Denton,3,USA,True
Abhijnan Chakraborty,3,Germany; India,True
Abeba Birhane,3,Ireland,True
Casey Fiesler,3,USA,True
Alan Mishler,3,USA,True
Cassidy All,3,USA,True
Nil-Jana Akpinar,3,USA,True
Masoud Mansoury,3,Netherlands,True
Dennis Wei,3,USA,True
Joachim Baumann,3,Switzerland,True
Zuohui Fu,3,USA,True
Lama Moukheiber,2,USA,True
Munmun De Choudhury,2,USA,True
Suvodeep Majumder,2,USA,True
Sunhao Dai,2,China,True
Pablo Mosteiro,2,Netherlands,True
Christo Wilson,2,USA,True
Will Hawkins,2,UK,True
Jiakai Tang,2,China,True
Yang Liu,2,Singapore; USA,True
Myra Cheng,2,USA,True
Måns Magnusson,2,Sweden,True
Yang Zhang,2,China; USA,True
William Agnew,2,UK; USA,True
Yashar Deldjoo,2,Italy,True
Na Zou,2,USA,True
Fei Wang,2,USA,True
Lane Harrison,2,USA,True
Jennifer Cobbe,2,UK,True
Ninghao Liu,2,USA,True
Aram Galstyan,2,USA,True
Karan Bhanot,2,USA,True
Weijie Chen,2,USA,True
Catuscia Palamidessi,2,France,True
Flávio P. Calmon,2,USA,True
Flávio Comim,2,Spain,True
Emma Pierson,2,USA,True
Lei Li,2,China; Hong Kong,True
Aparna Garimella,2,USA,True
Karima Makhlouf,2,Canada; France,True
Jiayin Lin,2,China,True
Fernando Díaz,2,Canada; USA,True
Karthikeyan Natesan Ramamurthy,2,USA,True
Wendy Hui,2,Singapore,True
Floortje Scheepers,2,Netherlands,True
Christopher C. Yang,2,USA,True
Jessie J. Smith,2,USA,True
Carlos Scheidegger,2,USA,True
Muhammad Bilal Zafar,2,Germany,True
Wenqi Fan,2,Hong Kong,True
Robin Brewer,2,USA,True
Jamila Smith-Loud,2,USA,True
Talia B. Gillis,2,USA,True
Robert E. Wolfe,2,USA,True
Elizabeth Edenberg,2,USA,True
Konstantinos Kotis,2,Greece,True
Nicolas Usunier,2,USA,True
Paresha Farastu,2,USA,True
Bettina Berendt,2,Belgium; Germany,True
Elizabeth Anne Watkins,2,USA,True
Kevin Klyman,2,USA,True
Chirag Shah,2,USA,True
Jwala Dhamala,2,USA,True
Kit T. Rodolfa,2,USA,True
Emilio Ferrara,2,USA,True
Jiang Bian,2,USA,True
Nathan Kallus,2,USA,True
Stephen Pfohl,2,USA,True
Xiaojie Mao,2,USA,True
Tai Le Quy,2,Germany,True
Kevin R. McKee,2,UK,True
Reuben Binns,2,UK,True
Xiaoyan Wang,2,USA,True
Nripsuta Ani Saxena,2,USA,True
Stevie Chancellor,2,USA,True
K. Mei,2,USA,True
Rahul Gupta,2,USA,True
Berkman Sahiner,2,USA,True
Chen Chen,2,USA,True
Avijit Ghosh,2,USA,True
Natali Helberger,2,Netherlands,True
Jennifer Chien,2,USA,True
Jan Simson,2,Germany,True
Christina Lioma,2,Denmark,True
Nanyun Peng,2,USA,True
Song Wang,2,USA,True
William S. Agnew,2,USA,True
Katsiaryna Bahamazava,2,Italy,True
Niklas Kühl,2,Germany,True
Juntao Tan,2,USA,True
Christian Haas,2,Austria,True
Rayid Ghani,2,USA,True
Sumon Biswas,2,USA,True
Xueqi Cheng,2,China; USA,True
Jiao Sun,2,USA,True
Kristian Lum,2,USA,True
Ke Wang,2,China,True
Wai Kwong Lau,2,Australia,True
Xia Hu,2,USA,True
Kristen M. Scott,2,Belgium,True
Chris Russell,2,Germany; UK,True
Kendra Albert,2,USA,True
Xiangnan He,2,China,True
Jacob Goldin,2,USA,True
A. S. Bergman,2,UK,True
Chacha Chen,2,USA,True
Gourab K Patro,2,India,True
Michael Kearns,2,USA,True
José M. Álvarez,2,Italy,True
Ibomoiye Domor Mienye,2,South Africa,True
Levent Sagun,2,France; USA,True
Qiaoying Huang,2,USA,True
S. Divakara Shetty,2,United Arab Emirates,True
Michael W. Sjoding,2,USA,True
Goya van Boven,2,Netherlands,True
Maarten de Rijke,2,Netherlands,True
Maarten Sap,2,USA,True
Adrian Weller,2,UK,True
Sami Zhioua,2,France; United Arab Emirates,True
Harith Alani,2,UK,True
Gjergji Kasneci,2,Germany,True
Shicheng Xu,2,China,True
Joymallya Chakraborty,2,USA,True
Michelle Seng Ah Lee,2,UK,True
Shijie Geng,2,USA,True
Danaë Metaxa,2,USA,True
Ziad Obermeyer,2,USA,True
Ludovico Boratto,2,Italy,True
Inioluwa Deborah Raji,2,Canada; USA,True
Mayra Russo,2,Germany,True
Theresia Veronika Rampisela,2,Denmark,True
Ruoyuan Gao,2,USA,True
Hui Wang,2,USA,True
Maribeth Rauh,2,UK,True
Hannah Rose Kirk,2,UK,True
Maria Maistro,2,Denmark,True
David Danks,2,USA,True
Maria De-Arteaga,2,USA,True
Salvatore Ruggieri,2,Italy,True
Seth Neel,2,USA,True
Sendhil Mullainathan,2,USA,True
Aleksandra Korolova,2,USA,True
Haiyi Zhu,2,USA,True
Derek Ouyang,2,USA,True
Mallak Alkhathlan,2,USA,True
Hansa Srinivasan,2,USA,True
Hanxiong Chen,2,USA,True
Percy Liang,2,USA,True
Sahil Verma,2,India; USA,True
Alex John London,2,USA,True
Alexander D'Amour,2,UK; USA,True
Mark Díaz,2,USA,True
Michael Carl Tschantz,2,USA,True
Hridesh Rajan,2,USA,True
Zhiwei Steven Wu,2,USA,True
Samuel Yeom,2,USA,True
Zichong Wang,2,USA,True
