Country,Authors,Papers
USA,403,112
China,144,36
UK,74,31
India,43,14
Germany,39,12
Australia,28,12
Italy,24,11
Netherlands,22,11
France,20,8
Canada,16,8
Hong Kong,17,6
Spain,17,6
Japan,11,6
Denmark,13,5
Switzerland,9,5
Israel,10,4
Singapore,6,4
United Arab Emirates,6,4
Austria,5,4
Norway,4,4
Greece,12,3
Indonesia,9,3
Ireland,7,3
South Korea,6,3
Pakistan,5,3
Thailand,10,2
New Zealand,8,2
Taiwan,7,2
Finland,6,2
Brazil,5,2
Sweden,5,2
Malaysia,4,2
Slovakia,3,2
South Africa,3,2
Bulgaria,2,2
Luxembourg,6,1
Qatar,4,1
Egypt,3,1
Algeria,2,1
Turkey,2,1
Belgium,1,1
Chile,1,1
Iran,1,1
Jordan,1,1
Kenya,1,1
Macau,1,1
North Macedonia,1,1
Portugal,1,1
Russia,1,1
Saudi Arabia,1,1
Serbia,1,1
