Country,Authors,Papers
USA,1145,389
UK,183,79
China,241,60
Germany,148,60
Canada,70,35
Netherlands,61,31
Italy,52,27
India,64,25
France,43,25
Australia,47,20
Switzerland,34,19
Spain,31,14
Austria,23,12
Denmark,25,10
Japan,34,9
Singapore,28,9
Sweden,27,9
Hong Kong,20,9
Belgium,13,9
Ireland,13,9
South Korea,20,7
Israel,14,7
Greece,16,6
Brazil,14,5
United Arab Emirates,6,5
Taiwan,15,4
New Zealand,12,4
Malaysia,11,4
Turkey,8,4
Pakistan,6,4
Norway,4,4
Portugal,4,4
Finland,9,3
Indonesia,9,3
Luxembourg,8,3
South Africa,5,3
Algeria,4,3
Slovakia,2,3
Thailand,10,2
Morocco,6,2
Saudi Arabia,5,2
Vietnam,4,2
Bangladesh,3,2
Iran,3,2
Jordan,3,2
Macau,3,2
Bulgaria,2,2
Kenya,2,2
Qatar,4,1
Egypt,3,1
Romania,3,1
Peru,2,1
Ukraine,2,1
Argentina,1,1
Botswana,1,1
Chile,1,1
Colombia,1,1
El Salvador,1,1
Ghana,1,1
North Macedonia,1,1
Philippines,1,1
Poland,1,1
Russia,1,1
Serbia,1,1
