model,n_neighbors,min_dist,embedding_silhouette,is_best_for_model
minilm,15,0.0,0.2137,True
minilm,10,0.05,0.2124,False
minilm,10,0.0,0.2064,False
minilm,15,0.05,0.1819,False
minilm,10,0.1,0.1806,False
minilm,15,0.1,0.1802,False
minilm,10,0.2,0.1794,False
minilm,5,0.0,0.1774,False
minilm,30,0.0,0.1746,False
minilm,30,0.05,0.1683,False
minilm,15,0.2,0.1621,False
minilm,50,0.0,0.1589,False
minilm,5,0.2,0.1564,False
minilm,30,0.1,0.1562,False
minilm,50,0.05,0.1547,False
minilm,50,0.1,0.1507,False
minilm,5,0.1,0.1448,False
minilm,50,0.2,0.1406,False
minilm,30,0.2,0.1387,False
minilm,5,0.05,0.1384,False
mpnet,30,0.0,0.2564,True
mpnet,15,0.0,0.2501,False
mpnet,10,0.0,0.2488,False
mpnet,15,0.05,0.2456,False
mpnet,50,0.05,0.2407,False
mpnet,5,0.0,0.2398,False
mpnet,50,0.0,0.2385,False
mpnet,10,0.05,0.2378,False
mpnet,15,0.1,0.2272,False
mpnet,50,0.1,0.2268,False
mpnet,30,0.1,0.2196,False
mpnet,10,0.1,0.2188,False
mpnet,5,0.1,0.2176,False
mpnet,30,0.05,0.2164,False
mpnet,5,0.05,0.211,False
mpnet,10,0.2,0.2102,False
mpnet,15,0.2,0.2082,False
mpnet,30,0.2,0.202,False
mpnet,50,0.2,0.1908,False
mpnet,5,0.2,0.1804,False
specter,10,0.05,0.2052,True
specter,30,0.0,0.2023,False
specter,15,0.0,0.1989,False
specter,10,0.0,0.1982,False
specter,50,0.0,0.1952,False
specter,30,0.05,0.192,False
specter,10,0.1,0.1871,False
specter,15,0.05,0.1863,False
specter,50,0.05,0.1811,False
specter,30,0.1,0.181,False
specter,15,0.1,0.1795,False
specter,10,0.2,0.177,False
specter,50,0.1,0.1759,False
specter,5,0.1,0.1751,False
specter,30,0.2,0.1748,False
specter,5,0.0,0.1673,False
specter,5,0.05,0.1669,False
specter,50,0.2,0.1633,False
specter,15,0.2,0.1583,False
specter,5,0.2,0.1363,False
