"country","total_ai_papers","bias_papers","bias_share_pct","share_zscore"
"USA","928926","353","0.038","3.8184164702617847"
"United Kingdom","285517","69","0.0242","2.2608005290967648"
"Germany","230303","52","0.0226","2.0802073764979214"
"China","1565865","44","0.0028","-0.15463288691275925"
"Canada","160292","34","0.0212","1.9221883679739342"
"Italy","150784","28","0.0186","1.6287244950008144"
"Netherlands","81466","27","0.0331","3.265349940427828"
"France","142506","22","0.0154","1.2675381898031288"
"India","450157","22","0.0049","0.08239562587322205"
"Australia","132635","20","0.0151","1.2336769736908457"
"Switzerland","59151","18","0.0304","2.960598995417281"
"Spain","111679","12","0.0107","0.7370458040440275"
"Austria","34082","11","0.0323","3.175053364128407"
"Denmark","35058","9","0.0257","2.43010660965818"
"Japan","199430","9","0.0045","0.0372473377235113"
"Belgium","43625","8","0.0183","1.5948632788885315"
"Ireland","21675","8","0.0369","3.6942586778500806"
"Singapore","54251","8","0.0147","1.1885286855411348"
"South Korea","147405","7","0.0047","0.05982148179836672"
"Sweden","50445","7","0.0139","1.0982321092417133"
"United Arab Emirates","25742","6","0.0233","2.1592168807599155"
"Israel","28948","6","0.0207","1.8657530077867959"
"Greece","31704","5","0.0158","1.3126864779528395"
"Brazil","89428","5","0.0056","0.16140513013521585"
"Hong Kong","65959","5","0.0076","0.38714657088376947"
"Malaysia","67898","4","0.0059","0.19526634624749886"
"New Zealand","19034","4","0.021","1.899614223899079"
"Pakistan","50619","4","0.0079","0.4210077869960526"
"Turkey","84344","4","0.0047","0.05982148179836672"
"Portugal","34973","4","0.0114","0.8160553083060215"
"nan","0","4","",""
"Jordan","15112","3","0.0199","1.7754564314873744"
"Indonesia","212490","3","0.0014","-0.31265189543674676"
"Norway","32542","3","0.0092","0.5677397234826124"
"South Africa","24524","3","0.0122","0.9063518846054429"
"Bangladesh","30953","3","0.0097","0.6241750836697508"
"Finland","30882","2","0.0065","0.2629887784720649"
"Kenya","3817","2","0.0524","5.443754843651371"
"Slovakia","12826","2","0.0156","1.2901123338779839"
"Luxembourg","4766","2","0.042","4.269899351758892"
"Macau","14826","2","0.0135","1.0530838210920026"
"Saudi Arabia","67757","2","0.003","-0.1320587428379039"
"Taiwan","71640","2","0.0028","-0.15463288691275925"
"Bulgaria","11119","2","0.018","1.5610020627762482"
"Algeria","23056","2","0.0087","0.5113043632954739"
"Thailand","27129","2","0.0074","0.36457242680891416"
"Vietnam","28332","2","0.0071","0.3307112106966311"
"MK","0","1","",""
"Serbia","12550","1","0.008","0.43229485903348025"
"Qatar","9170","1","0.0109","0.759619948118883"
"Ghana","5005","1","0.02","1.786743503524802"
"SV","0","1","",""
"Ukraine","36105","1","0.0028","-0.15463288691275925"
"BW","0","1","",""
"Argentina","10641","1","0.0094","0.5903138675574678"
