University,Focus Region,Domain,Count
Alexander von Humboldt Institute for Internet and Society,nan,General Fairness & Bias Mitigation,1
Althire AI,Global,Graph-Based Fairness & Bias Mitigation,1
Amazon,nan,LLMs & NLP,1
American Civil Liberties Union,nan,General Fairness & Bias Mitigation,1
Ardahan University,nan,Recommender Systems,1
Arizona State University,nan,LLMs & NLP,1
Artificial Intelligence in Medicine,nan,Health & Clinical AI,1
Aston University,nan,LLMs & NLP,1
Auburn University,nan,General Fairness & Bias Mitigation,1
Auckland University of Technology,nan,LLMs & NLP,1
Auckland University of Technology,nan,Recommender Systems,1
Bar-Ilan University,nan,General Fairness & Bias Mitigation,1
Baruch College,nan,General Fairness & Bias Mitigation,1
Baylor University,nan,LLMs & NLP,1
Bağcılar Eğitim ve Araştırma Hastanesi,nan,Health & Clinical AI,1
Beijing International Studies University,nan,LLMs & NLP,1
Ben-Gurion University of the Negev,nan,General Fairness & Bias Mitigation,1
Ben-Gurion University of the Negev,nan,Graph-Based Fairness & Bias Mitigation,1
Ben-Gurion University of the Negev,nan,Health & Clinical AI,1
Bennett University,Global,Health & Clinical AI,1
Bentley University,nan,Health & Clinical AI,1
Beth Israel Deaconess Medical Center,nan,Health & Clinical AI,1
Binus University,nan,Recommender Systems,2
Birla Institute of Technology and Science - Hyderabad Campus,nan,Health & Clinical AI,1
"Birla Institute of Technology and Science, Pilani - Dubai Campus",nan,General Fairness & Bias Mitigation,2
"Birla Institute of Technology and Science, Pilani - Dubai Campus",nan,LLMs & NLP,1
Bocconi University,nan,General Fairness & Bias Mitigation,1
Brigham and Women's Hospital,USA,Health & Clinical AI,1
Brigham and Women's Hospital,nan,Health & Clinical AI,1
Broad Institute,nan,Health & Clinical AI,1
Bulgarian Academy of Sciences,nan,LLMs & NLP,1
Burapha University,nan,LLMs & NLP,1
"California State University, Long Beach",nan,General Fairness & Bias Mitigation,1
Cape Breton University,Global,Health & Clinical AI,1
Cardiovascular Institute of the South,Global,Health & Clinical AI,2
Carnegie Mellon University,Global,General Fairness & Bias Mitigation,1
Carnegie Mellon University,Global,LLMs & NLP,1
Carnegie Mellon University,USA,General Fairness & Bias Mitigation,1
Carnegie Mellon University,nan,General Fairness & Bias Mitigation,6
Carnegie Mellon University,nan,LLMs & NLP,2
Carnegie Mellon University,nan,Recommender Systems,1
Center for Democracy & Technology,nan,General Fairness & Bias Mitigation,1
Center for Research in Molecular Medicine and Chronic Diseases,nan,Health & Clinical AI,1
Centre National de la Recherche Scientifique,nan,General Fairness & Bias Mitigation,1
Chandigarh University,nan,Health & Clinical AI,1
Changchun University of Science and Technology,nan,Graph-Based Fairness & Bias Mitigation,1
Charles Darwin University,nan,Health & Clinical AI,1
Charles Sturt University,nan,Health & Clinical AI,1
Chennai Mathematical Institute,nan,LLMs & NLP,1
Chungnam National University,nan,Graph-Based Fairness & Bias Mitigation,1
Columbia University,Global,Graph-Based Fairness & Bias Mitigation,1
Concordia University,nan,General Fairness & Bias Mitigation,1
Cornell University,Global,General Fairness & Bias Mitigation,1
Cornell University,USA,General Fairness & Bias Mitigation,2
Cornell University,nan,General Fairness & Bias Mitigation,2
Cornell University,nan,Health & Clinical AI,1
Cornell University,nan,Recommender Systems,1
CyberAgent (Japan),nan,Recommender Systems,1
Daffodil International University,nan,General Fairness & Bias Mitigation,1
Dartmouth College,nan,General Fairness & Bias Mitigation,1
Dartmouth Hospital,nan,LLMs & NLP,1
Data & Society Research Institute,nan,General Fairness & Bias Mitigation,3
Datta Meghe Institute of Medical Sciences,nan,Health & Clinical AI,1
Deakin University,Global,Graph-Based Fairness & Bias Mitigation,1
Deakin University,nan,Recommender Systems,1
Delft University of Technology,nan,LLMs & NLP,1
Delft University of Technology,nan,Recommender Systems,2
Department of Mathematical Sciences,nan,Health & Clinical AI,1
"Department of Mathematical Sciences G.L. Lagrange, Politecnico di Torino, Corso Duca degli Abruzzi, 24, Torino 10129, Italy",nan,General Fairness & Bias Mitigation,1
Drexel University,nan,Health & Clinical AI,2
Duke-NUS Medical School,nan,Health & Clinical AI,1
Dundalk Institute of Technology,nan,General Fairness & Bias Mitigation,1
ETH Zurich,nan,General Fairness & Bias Mitigation,1
East China Normal University,nan,General Fairness & Bias Mitigation,1
Eindhoven University of Technology,nan,General Fairness & Bias Mitigation,1
Essen University Hospital,nan,Health & Clinical AI,1
"FAIR, Meta AI",nan,General Fairness & Bias Mitigation,1
Florida International University,Global,LLMs & NLP,1
Florida State University,nan,Graph-Based Fairness & Bias Mitigation,1
Fraunhofer Institute for Applied Information Technology,nan,LLMs & NLP,1
Fraunhofer Institute for Digital Medicine,Global,Health & Clinical AI,1
Fraunhofer Institute for Digital Medicine,USA,Health & Clinical AI,1
Fudan University,nan,Graph-Based Fairness & Bias Mitigation,1
Fudan University,nan,LLMs & NLP,2
Fujian Normal University,nan,Recommender Systems,2
George Mason University,nan,LLMs & NLP,1
Georgetown University,nan,General Fairness & Bias Mitigation,1
Georgia Institute of Technology,nan,General Fairness & Bias Mitigation,1
German Research Centre for Artificial Intelligence,nan,LLMs & NLP,1
Ghana Institute of Languages,nan,LLMs & NLP,1
Google,nan,General Fairness & Bias Mitigation,6
Guangdong University of Technology,nan,LLMs & NLP,1
Guilin University of Electronic Technology,nan,Recommender Systems,1
Hamad bin Khalifa University,nan,Health & Clinical AI,1
Harbin Institute of Technology,nan,LLMs & NLP,1
Harvard University,USA,Health & Clinical AI,1
Harvard University,nan,General Fairness & Bias Mitigation,1
Harvard University,nan,Health & Clinical AI,3
Haverford College,USA,General Fairness & Bias Mitigation,1
Heinrich-Heine-Universität Düsseldorf,Global,General Fairness & Bias Mitigation,1
Hong Kong Baptist University,nan,General Fairness & Bias Mitigation,1
Hong Kong Baptist University,nan,Recommender Systems,3
Hospital for Sick Children,nan,Health & Clinical AI,1
Howard University,nan,General Fairness & Bias Mitigation,1
Huaqiao University,nan,Graph-Based Fairness & Bias Mitigation,1
IBM Research India,Global,General Fairness & Bias Mitigation,1
Imperial College London,nan,General Fairness & Bias Mitigation,1
Indian Institute of Technology Kanpur,nan,General Fairness & Bias Mitigation,1
Information Technologies Institute,nan,General Fairness & Bias Mitigation,1
Information Technology University,nan,Health & Clinical AI,1
Institut d'Etudes Politiques de Paris,nan,General Fairness & Bias Mitigation,1
Institute for Infocomm Research,nan,General Fairness & Bias Mitigation,2
Institute for Infocomm Research,nan,Graph-Based Fairness & Bias Mitigation,1
Institute of Computing Technology,nan,General Fairness & Bias Mitigation,1
Intesa Sanpaolo (Italy),nan,General Fairness & Bias Mitigation,1
Iowa State University,Global,General Fairness & Bias Mitigation,2
Iowa State University,Global,Graph-Based Fairness & Bias Mitigation,1
Ipsen (France),nan,Health & Clinical AI,1
Japan Advanced Institute of Science and Technology,nan,Graph-Based Fairness & Bias Mitigation,1
Jilin University,Global,LLMs & NLP,1
Jimei University,nan,LLMs & NLP,1
Jinan University,nan,Recommender Systems,1
Johns Hopkins University,nan,Health & Clinical AI,1
Johns Hopkins University,nan,LLMs & NLP,3
Johns Hopkins University,nan,Recommender Systems,1
KAIST,nan,LLMs & NLP,1
Kaiser Permanente,nan,Health & Clinical AI,1
Kennesaw State University,nan,LLMs & NLP,1
Khatam University,nan,General Fairness & Bias Mitigation,1
King Fahad Hospital Hufūf,nan,Health & Clinical AI,1
King Hussein Cancer Center,nan,General Fairness & Bias Mitigation,1
King Mongkut's Institute of Technology Ladkrabang,nan,Health & Clinical AI,1
King's College London,nan,General Fairness & Bias Mitigation,1
L3S Research Center & Leibniz University Hannover,European,General Fairness & Bias Mitigation,1
LMU Munich,nan,LLMs & NLP,1
La Trobe University,nan,Graph-Based Fairness & Bias Mitigation,1
La Trobe University,nan,Health & Clinical AI,2
Lappeenranta-Lahti University of Technology,nan,LLMs & NLP,1
Leibniz University Hannover,Global,General Fairness & Bias Mitigation,1
Leibniz University Hannover,Global,Graph-Based Fairness & Bias Mitigation,1
Leibniz University Hannover,nan,General Fairness & Bias Mitigation,1
Leibniz University Hannover,nan,Graph-Based Fairness & Bias Mitigation,1
Leuphana University of Lüneburg,nan,Graph-Based Fairness & Bias Mitigation,1
LinkedIn,nan,General Fairness & Bias Mitigation,1
Luleå University of Technology,nan,General Fairness & Bias Mitigation,1
Lund University,nan,LLMs & NLP,1
Luxembourg Institute of Science & Technology,nan,Graph-Based Fairness & Bias Mitigation,1
Luxembourg Institute of Science and Technology,nan,Recommender Systems,1
MIT,Global,General Fairness & Bias Mitigation,1
MIT,Global,Health & Clinical AI,1
MIT,nan,General Fairness & Bias Mitigation,4
MIT,nan,Health & Clinical AI,3
MIT,nan,LLMs & NLP,1
MKSSS's Cummins College of Engineering for Women,Global,LLMs & NLP,1
Macquarie University,Global,Health & Clinical AI,1
Mastercard,nan,LLMs & NLP,1
Max Planck Institute for Software Systems,Global,General Fairness & Bias Mitigation,1
Max Planck Institute for Software Systems,nan,General Fairness & Bias Mitigation,1
McGill University,nan,Health & Clinical AI,1
Mentor,nan,Health & Clinical AI,1
Michigan State University,Global,General Fairness & Bias Mitigation,1
Microsoft,Global,Recommender Systems,1
Microsoft,nan,General Fairness & Bias Mitigation,1
Microsoft,nan,LLMs & NLP,1
Microsoft Corporation,nan,General Fairness & Bias Mitigation,1
Microsoft Research,nan,LLMs & NLP,1
Middle Tennessee State University,nan,General Fairness & Bias Mitigation,1
Middle Tennessee State University,nan,Health & Clinical AI,1
Middle Tennessee State University,nan,LLMs & NLP,1
Mila - Quebec Artificial Intelligence Institute,nan,LLMs & NLP,1
Mohammed First University,nan,Health & Clinical AI,1
Morgan State University,nan,General Fairness & Bias Mitigation,2
N/A,nan,General Fairness & Bias Mitigation,1
Nanjing University,nan,LLMs & NLP,1
National Taiwan University,Global,LLMs & NLP,1
National Taiwan University,nan,General Fairness & Bias Mitigation,1
National Taiwan University,nan,LLMs & NLP,1
National University of Singapore,nan,General Fairness & Bias Mitigation,1
National University of Singapore,nan,Health & Clinical AI,1
National Yang Ming Chiao Tung University,nan,LLMs & NLP,1
New York City Health and Hospitals Corporation,nan,Health & Clinical AI,2
New York University,nan,General Fairness & Bias Mitigation,3
New York University,nan,Health & Clinical AI,1
Nokia (United Kingdom),nan,General Fairness & Bias Mitigation,1
North Carolina State University,Global,General Fairness & Bias Mitigation,4
Northeastern University,Global,LLMs & NLP,1
Northwest Normal University,nan,Recommender Systems,1
Northwestern University,USA,Health & Clinical AI,1
Northwestern University,nan,General Fairness & Bias Mitigation,1
Northwestern University,nan,LLMs & NLP,2
Osaka City University Hospital,nan,Health & Clinical AI,1
PES University,nan,Health & Clinical AI,2
