University,Domain,Count
Alexander von Humboldt Institute for Internet and Society,General Fairness & Bias Mitigation,1
Allen Institute,Health & Clinical AI,1
Althire AI,Graph-Based Fairness & Bias Mitigation,1
Amazon,General Fairness & Bias Mitigation,2
Amazon,LLMs & NLP,2
American Civil Liberties Union,General Fairness & Bias Mitigation,2
Amsterdam University of the Arts,LLMs & NLP,1
Ardahan University,Recommender Systems,1
Arizona State University,LLMs & NLP,1
Artificial Intelligence in Medicine,Health & Clinical AI,1
Aston University,LLMs & NLP,1
Auburn University,General Fairness & Bias Mitigation,1
Auckland University of Technology,LLMs & NLP,1
Auckland University of Technology,Recommender Systems,1
Bar-Ilan University,General Fairness & Bias Mitigation,1
Baruch College,General Fairness & Bias Mitigation,1
Baylor University,LLMs & NLP,1
Bağcılar Eğitim ve Araştırma Hastanesi,Health & Clinical AI,1
Beijing International Studies University,LLMs & NLP,1
Ben-Gurion University of the Negev,General Fairness & Bias Mitigation,1
Ben-Gurion University of the Negev,Graph-Based Fairness & Bias Mitigation,1
Ben-Gurion University of the Negev,Health & Clinical AI,1
Bennett University,Health & Clinical AI,1
Bentley University,Health & Clinical AI,1
Berkeley College,General Fairness & Bias Mitigation,1
Berkeley College,Health & Clinical AI,1
Beth Israel Deaconess Medical Center,Health & Clinical AI,1
Binus University,Recommender Systems,2
Birla Institute of Technology and Science - Hyderabad Campus,Health & Clinical AI,1
"Birla Institute of Technology and Science, Pilani - Dubai Campus",General Fairness & Bias Mitigation,2
"Birla Institute of Technology and Science, Pilani - Dubai Campus",LLMs & NLP,1
Bocconi University,General Fairness & Bias Mitigation,1
Brigham and Women's Hospital,Health & Clinical AI,2
Broad Institute,Health & Clinical AI,1
Bulgarian Academy of Sciences,LLMs & NLP,1
Burapha University,LLMs & NLP,1
California Institute of Technology,General Fairness & Bias Mitigation,1
"California State University, Long Beach",General Fairness & Bias Mitigation,1
Cape Breton University,Health & Clinical AI,1
Cardiovascular Institute of the South,Health & Clinical AI,2
Carnegie Mellon University,General Fairness & Bias Mitigation,18
Carnegie Mellon University,LLMs & NLP,5
Carnegie Mellon University,Recommender Systems,1
Center for Democracy & Technology,General Fairness & Bias Mitigation,1
Center for Research in Molecular Medicine and Chronic Diseases,Health & Clinical AI,1
Centre National de la Recherche Scientifique,General Fairness & Bias Mitigation,1
Centre National de la Recherche Scientifique,LLMs & NLP,1
Chandigarh University,Health & Clinical AI,1
Changchun University of Science and Technology,Graph-Based Fairness & Bias Mitigation,1
Charles Darwin University,Health & Clinical AI,1
Charles Sturt University,Health & Clinical AI,1
Chennai Mathematical Institute,LLMs & NLP,1
Chungnam National University,Graph-Based Fairness & Bias Mitigation,1
Columbia University,General Fairness & Bias Mitigation,2
Columbia University,Graph-Based Fairness & Bias Mitigation,1
Columbia University,LLMs & NLP,1
Concordia University,General Fairness & Bias Mitigation,1
Cornell University,General Fairness & Bias Mitigation,12
Cornell University,Health & Clinical AI,1
Cornell University,LLMs & NLP,1
Cornell University,Recommender Systems,1
CyberAgent (Japan),Recommender Systems,1
Daffodil International University,General Fairness & Bias Mitigation,1
Dartmouth College,General Fairness & Bias Mitigation,1
Dartmouth Hospital,LLMs & NLP,1
Data & Society Research Institute,General Fairness & Bias Mitigation,4
Datta Meghe Institute of Medical Sciences,Health & Clinical AI,1
Deakin University,Graph-Based Fairness & Bias Mitigation,1
Deakin University,Recommender Systems,1
Delft University of Technology,LLMs & NLP,2
Delft University of Technology,Recommender Systems,2
Department of Mathematical Sciences,Health & Clinical AI,1
"Department of Mathematical Sciences G.L. Lagrange, Politecnico di Torino, Corso Duca degli Abruzzi, 24, Torino 10129, Italy",General Fairness & Bias Mitigation,1
Drexel University,Health & Clinical AI,2
Duke-NUS Medical School,Health & Clinical AI,1
Dundalk Institute of Technology,General Fairness & Bias Mitigation,1
ETH Zurich,General Fairness & Bias Mitigation,1
East China Normal University,General Fairness & Bias Mitigation,1
Eindhoven University of Technology,General Fairness & Bias Mitigation,1
Essen University Hospital,Health & Clinical AI,1
"FAIR, Meta AI",General Fairness & Bias Mitigation,1
Film Independent,General Fairness & Bias Mitigation,1
Florida International University,LLMs & NLP,1
Florida State University,Graph-Based Fairness & Bias Mitigation,1
Fraunhofer Institute for Applied Information Technology,LLMs & NLP,1
Fraunhofer Institute for Digital Medicine,Health & Clinical AI,2
Fraunhofer Institute for Integrated Circuits,General Fairness & Bias Mitigation,1
Fudan University,Graph-Based Fairness & Bias Mitigation,1
Fudan University,LLMs & NLP,2
Fujian Normal University,Recommender Systems,2
Fujitsu Research of America,LLMs & NLP,1
George Mason University,General Fairness & Bias Mitigation,1
George Mason University,LLMs & NLP,1
Georgetown University,General Fairness & Bias Mitigation,1
Georgia Institute of Technology,General Fairness & Bias Mitigation,2
