Raw_Institution_Precleaned,Count
Princeton University,7
University of Colorado Boulder,7
New York University,6
Northeastern University,5
Johns Hopkins University,5
Utrecht University,5
Delft University of Technology,4
Leibniz University Hannover,4
Data & Society Research Institute,4
Hong Kong Baptist University,4
Worcester Polytechnic Institute,4
Technical University of Munich,4
Max Planck Institute for Software Systems,3
Queen Mary University of London,3
Rensselaer Polytechnic Institute,3
Ben-Gurion University of the Negev,3
Georgia Institute of Technology,3
"Birla Institute of Technology and Science, Pilani - Dubai Campus",3
Middle Tennessee State University,3
Shanghai Normal University,3
La Trobe University,3
Palo Alto University,3
Washington University in St. Louis,3
Seattle University,3
Institute for Infocomm Research,3
University of Illinois Urbana-Champaign,3
Pennsylvania State University,3
University of Chicago,3
University of California San Diego,3
University of Toronto,3
Virginia Tech,3
Universidade Federal de São Paulo,3
National University of Singapore,3
Iowa State University,3
Microsoft,3
University of Copenhagen,3
University of Massachusetts Amherst,2
American Civil Liberties Union,2
University of Bologna,2
PES University,2
Deakin University,2
Fujian Normal University,2
Swinburne University of Technology,2
Saarland University,2
Munich Center for Machine Learning,2
McGill University,2
University of the Aegean,2
Tianjin University,2
Universidade Estadual de Campinas (UNICAMP),2
University of Amsterdam,2
The University of Texas at Austin,2
Binus University,2
Centre National de la Recherche Scientifique,2
New York City Health and Hospitals Corporation,2
Morgan State University,2
University of Science and Technology of China,2
Radboud University Nijmegen,2
LinkedIn,2
University of Florida,2
Umeå University,2
George Mason University,2
University of Bern,2
Vanderbilt University,2
Tel Aviv University,2
Polytechnic University of Bari,2
University of Wisconsin-Madison,2
Auckland University of Technology,2
Drexel University,2
IT University of Copenhagen,2
Berkeley College,2
Oregon State University,2
Rice University,2
University of Mannheim,1
Universitat de Barcelona,1
Intesa Sanpaolo (Italy),1
Beth Israel Deaconess Medical Center,1
German Research Centre for Artificial Intelligence,1
University of North Carolina at Chapel Hill,1
University of Alabama at Birmingham,1
National Yang Ming Chiao Tung University,1
ETH Zurich,1
University of Texas at Austin,1
Universidad de La Sabana,1
Fraunhofer Institute for Integrated Circuits,1
Georgetown University,1
IRT M2P,1
University of Sheffield,1
Dartmouth Hospital,1
Lund University,1
Ipsen (France),1
Auburn University,1
VinUniversity,1
Xinjiang University,1
St. Michael's Hospital,1
University of Melbourne,1
Politecnico di Milano,1
Concordia University,1
N/A,1
University of Bucharest,1
Center for Research in Molecular Medicine and Chronic Diseases,1
Société Générale,1
Shandong University,1
Amsterdam University of the Arts,1
Michigan Technological University,1
University of Delaware,1
Hospital for Sick Children,1
JPMorgan Chase,1
Indian Institute of Technology Kanpur,1
Essen University Hospital,1
"University of California, San Francisco",1
Dartmouth College,1
California Institute of Technology,1
University of Bayreuth,1
University of Iowa,1
Bağcılar Eğitim ve Araştırma Hastanesi,1
University of Florida Health,1
University of Duisburg-Essen,1
Eindhoven University of Technology,1
Scuola Superiore Sant'Anna,1
University of Basel,1
The University of Western Australia,1
Stevens Institute of Technology,1
Politecnico di Torino,1
Indian Institute of Technology Kharagpur,1
Fraunhofer Institute for Applied Information Technology,1
RMIT University,1
University of California Davis,1
Seoul National University,1
Allen Institute,1
Daffodil International University,1
Fujitsu Research of America,1
Trinity College Dublin,1
Jawaharlal Nehru University,1
Partners In Health,1
Film Independent,1
Baruch College,1
King's College London,1
Kansas State University,1
Microsoft Corporation,1
Ruhr University Bochum,1
University of Massachusetts Boston,1
Weizenbaum Institute,1
Center for Democracy & Technology,1
Institut d'Etudes Politiques de Paris,1
Vector Institute,1
University of California Berkeley,1
University of Edinburgh,1
Alexander von Humboldt Institute for Internet and Society,1
University of Vienna,1
University of Tübingen,1
Institute of Science and Technology Austria,1
International Computer Science Institute,1
University of Ghent,1
Osaka University,1
Indian Institute of Technology Indore,1
Helmholtz Center for Information Security,1
"FAIR, Meta AI",1
Lancaster University,1
Ghent University Hospital,1
Volkswagen Group,1
Nokia (United Kingdom),1
Bar-Ilan University,1
The University of Melbourne,1
Universität der Bundeswehr München,1
Howard University,1
The University of Queensland,1
Wellesley College,1
Universidade de Santiago de Compostela,1
Ghana Institute of Languages,1
King Hussein Cancer Center,1
Nanjing University,1
"School of Computer Science and Engineering, RV University, Bengaluru, Karnataka 560059, India",1
University of New Haven,1
Burapha University,1
Chennai Mathematical Institute,1
Guangdong University of Technology,1
Jimei University,1
University of Kuala Lumpur,1
Kennesaw State University,1
Bulgarian Academy of Sciences,1
MKSSS's Cummins College of Engineering for Women,1
Pandit Deendayal Petroleum University,1
Aston University,1
Lappeenranta-Lahti University of Technology,1
University of South Florida,1
Toronto Metropolitan University,1
Shenyang University of Technology,1
Leuphana University of Lüneburg,1
Salesforce,1
Chungnam National University,1
Florida State University,1
Jinan University,1
University of Fribourg,1
CyberAgent (Japan),1
Mastercard,1
"Department of Mathematical Sciences G.L. Lagrange, Politecnico di Torino, Corso Duca degli Abruzzi, 24, Torino 10129, Italy",1
Charles Darwin University,1
Mohammed First University,1
Beijing International Studies University,1
Charles Sturt University,1
Osaka City University Hospital,1
Mentor,1
Universitat Ramon Llull,1
The Ohio State University,1
Tel-Aviv University,1
University of Genoa,1
Translational Therapeutics,1
Université du Québec à Montréal,1
United States Food and Drug Administration,1
The Hebrew University of Jerusalem,1
Texas A&M University,1
Florida International University,1
Althire AI,1
University of South Carolina,1
Japan Advanced Institute of Science and Technology,1
Luxembourg Institute of Science and Technology,1
Northwest Normal University,1
SRM Institute of Science and Technology,1
University of Tsukuba,1
Samsung (India),1
Department of Mathematical Sciences,1
Walter Sisulu University,1
Datta Meghe Institute of Medical Sciences,1
Chandigarh University,1
Birla Institute of Technology and Science - Hyderabad Campus,1
University of Johannesburg,1
Xidian University,1
King Mongkut's Institute of Technology Ladkrabang,1
University of Cologne,1
Luxembourg Institute of Science & Technology,1
Transnational University Limburg,1
Guilin University of Electronic Technology,1
Telkom University,1
Santa Clara University,1
University of Pittsburgh,1
University of Milano-Bicocca,1
Institute of Computing Technology,1
University of Potsdam,1
Sivas Cumhuriyet Üniversitesi,1
Vrije Universiteit Brussel,1
University of Macau,1
Purdue University West Lafayette,1
Simula Research Laboratory,1
Baylor University,1
Southern University of Science and Technology,1
Bocconi University,1
Luleå University of Technology,1
Changchun University of Science and Technology,1
University of Antwerp,1
Artificial Intelligence in Medicine,1
Ardahan University,1
Mila - Quebec Artificial Intelligence Institute,1
Arizona State University,1
"University of Colorado, Boulder",1
LMU Munich,1
TU Wien,1
University of Denver,1
University of West London,1
Khatam University,1
Broad Institute,1
University of Delta Agbor,1
University of Technology Malaysia,1
King Fahad Hospital Hufūf,1
Ulm University,1
University Ferhat Abbas of Setif,1
Duke-NUS Medical School,1
University of Cincinnati,1
Hamad bin Khalifa University,1
Università di Camerino,1
University of Liverpool,1
UC San Diego,1
Bentley University,1
Singapore Institute of Technology,1
"California State University, Long Beach",1
Washington University,1
Harbin Institute of Technology,1
Universidad de Salamanca,1
University of Malaya,1
Huaqiao University,1
University of Nebraska at Omaha,1
Pwani University,1
University of Nottingham,1
Information Technology University,1
Universidad Politécnica de Madrid,1
The University of Texas at San Antonio Health Science Center,1
University of Leicester,1
Information Technologies Institute,1
East China Normal University,1
Dundalk Institute of Technology,1
Stony Brook University,1
"University of California, Santa Barbara",1
