SN,Paper Title,DOI,Authors,Author Regions,Affiliations,Year,Domain,Focus Region,Source,ORC ID
520,Bias in Bios: A Case Study of Semantic Representation Bias in a High-Stakes Setting,https://doi.org/10.1145/3287560.3287572,Maria De-Arteaga; Alexey Romanov; Hanna Wallach; Jennifer Chayes; Christian Borgs; Alexandra Chouldechova; Sahin Geyik; Krishnaram Kenthapadi; Adam Tauman Kalai,USA; USA; United Kingdom; United Kingdom; United Kingdom; USA; USA; USA; United Kingdom,Carnegie Mellon University; University of Massachusetts Lowell; Microsoft Research; Microsoft Research; Microsoft Research; Carnegie Mellon University; LinkedIn; LinkedIn; Microsoft Research,2019,LLMs & NLP,,FAccT,
521,50 Years of Test (Un)fairness: Lessons for Machine Learning,https://doi.org/10.48550/arxiv.1811.10104,Ben Hutchinson; Margaret Mitchell,,,2019,General Fairness & Bias Mitigation,,FAccT,
522,Fairness and Abstraction in Sociotechnical Systems,https://doi.org/10.1145/3287560.3287598,Andrew D. Selbst; danah boyd; Sorelle A. Friedler; Suresh Venkatasubramanian; Janet Vertesi,USA; USA; USA; USA; USA,Data & Society Research Institute; Microsoft; Haverford College; University of Utah; Princeton University,2019,General Fairness & Bias Mitigation,,FAccT,
523,Problem Formulation and Fairness,https://doi.org/10.1145/3287560.3287567,Samir Passi; Solon Barocas,USA; USA,Cornell University; Cornell University,2019,General Fairness & Bias Mitigation,,FAccT,
524,Racial categories in machine learning,https://doi.org/10.1145/3287560.3287575,Sebastian Benthall; Bruce D. Haynes,USA; USA,New York University; University of California Davis,2019,General Fairness & Bias Mitigation,,FAccT,
525,Classification with Fairness Constraints: A Meta-Algorithm with Provable Guarantees,https://doi.org/10.48550/arxiv.1806.06055,L. Elisa Celis; Lingxiao Huang; Vijay Keswani; Nisheeth K. Vishnoi,USA; ; ; USA,Yale University; ; ; Yale University,2019,General Fairness & Bias Mitigation,,FAccT,
526,A comparative study of fairness-enhancing interventions in machine learning,https://doi.org/10.1145/3287560.3287589,Sorelle A. Friedler; Carlos Scheidegger; Suresh Venkatasubramanian; Sonam Choudhary; Evan P. Hamilton; Derek Roth,USA; USA; USA; USA; USA; USA,Haverford College; University of Arizona; University of Utah; University of Utah; Haverford College; Haverford College,2019,General Fairness & Bias Mitigation,,FAccT,
527,Fairness Under Unawareness: Assessing Disparity When Protected Class Is Unobserved,https://doi.org/10.48550/arxiv.1811.11154,Jiahao Chen; Nathan Kallus; Xiaojie Mao; Geoffry Svacha; Madeleine Udell,; USA; USA; ; USA,; Cornell University; Cornell University; ; Cornell University,2019,General Fairness & Bias Mitigation,,FAccT,
528,An Empirical Study of Rich Subgroup Fairness for Machine Learning,https://doi.org/10.1145/3287560.3287592,Michael Kearns; Seth Neel; Aaron Roth; Zhiwei Steven Wu,USA; USA; USA; USA,University of Pennsylvania; University of Pennsylvania; University of Pennsylvania; University of Minnesota,2019,General Fairness & Bias Mitigation,,FAccT,
529,Equality of Voice: Towards Fair Representation in Crowdsourced Top-K Recommendations,https://doi.org/10.48550/arxiv.1811.08690,Abhijnan Chakraborty; Gourab K Patro; Niloy Ganguly; Krishna P. Gummadi; Patrick Loiseau,,,2019,Recommender Systems,,FAccT,
530,Analyzing Biases in Perception of Truth in News Stories and Their Implications for Fact Checking,https://doi.org/10.1145/3287560.3287581,Mahmoudreza Babaei; Abhijnan Chakraborty; Juhi Kulshrestha; Elissa M. Redmiles; Meeyoung Cha; Krishna P. Gummadi,Germany; Germany; Germany; ; South Korea; Germany,Max Planck Institute for Software Systems; Max Planck Institute for Software Systems; GESIS - Leibniz Institute for the Social Sciences; ; Korea Advanced Institute of Science and Technology; Max Planck Institute for Software Systems,2019,General Fairness & Bias Mitigation,,FAccT,
531,Measuring the Biases that Matter: The Ethical and Causal Foundations for Measures of Fairness in Algorithms,https://doi.org/10.1145/3287560.3287573,Bruce Glymour; Jonathan Herington,USA; USA,Kansas State University; Kansas State University,2019,General Fairness & Bias Mitigation,,FAccT,
532,Dissecting Racial Bias in an Algorithm that Guides Health Decisions for 70 Million People,https://doi.org/10.1145/3287560.3287593,Ziad Obermeyer; Sendhil Mullainathan,USA; USA,Berkeley College; University of Chicago,2019,Health & Clinical AI,,FAccT,
533,Closing the AI Accountability Gap: Defining an End-to-End Framework for Internal Algorithmic Auditing,https://doi.org/10.48550/arxiv.2001.00973,Inioluwa Deborah Raji; Andrew Smart; Rebecca N. White; Margaret Mitchell; Timnit Gebru; Ben Hutchinson; Jamila Smith-Loud; Daniel Theron; Parker Barnes,USA; USA; USA; USA; USA; USA; USA; USA; USA,Partners In Health; Google; Google; Google; Google; Google; Google; Google; Google,2020,General Fairness & Bias Mitigation,,FAccT,
534,Assessing Algorithmic Fairness with Unobserved Protected Class Using Data Combination,https://doi.org/10.1287/mnsc.2020.3850,Nathan Kallus; Xiaojie Mao; Angela Zhou,USA; USA; USA,Cornell University; Cornell University; Cornell University,2020,General Fairness & Bias Mitigation,,FAccT,
535,FlipTest: Fairness Testing via Optimal Transport,https://doi.org/10.1145/3351095.3372845,Emily Black; Samuel Yeom; Matt Fredrikson,USA; USA; USA,Carnegie Mellon University; Carnegie Mellon University; Carnegie Mellon University,2020,General Fairness & Bias Mitigation,,FAccT,
536,Towards a Critical Race Methodology in Algorithmic Fairness,https://doi.org/10.1145/3351095.3372826,Alex Hanna; Emily Denton; Andrew Smart; Jamila Smith-Loud,USA; USA; USA; USA,Google; Google; Google; Google,2020,General Fairness & Bias Mitigation,,FAccT,
537,Mitigating Bias in Algorithmic Hiring: Evaluating Claims and Practices,https://doi.org/10.1145/3351095.3372828,Manish Raghavan; Solon Barocas; Jon Kleinberg; Karen Levy,USA; USA; USA; USA,Cornell University; Cornell University; Cornell University; Cornell University,2020,General Fairness & Bias Mitigation,,FAccT,
538,Reducing Sentiment Polarity for Demographic Attributes in Word Embeddings using Adversarial Learning,https://doi.org/10.1145/3351095.3372837,Chris Sweeney; Maryam Najafian,USA; USA,Massachusetts Institute of Technology; Massachusetts Institute of Technology,2020,LLMs & NLP,,FAccT,
539,Bias in Word Embeddings,https://doi.org/10.1145/3351095.3372843,Orestis Papakyriakopoulos; Simon Hegelich; Juan Carlos Medina Serrano; Fabienne Marco,Germany; Germany; Germany; Germany,Technical University of Munich; Technical University of Munich; Technical University of Munich; Technical University of Munich,2020,LLMs & NLP,,FAccT,
540,Towards Fairer Datasets: Filtering and Balancing the Distribution of the People Subtree in the ImageNet Hierarchy,https://doi.org/10.48550/arxiv.1912.07726,Kaiyu Yang; Klint Qinami; Li Fei-Fei; Jia Deng; Olga Russakovsky,USA; USA; USA; USA; USA,Princeton University; Princeton University; Stanford University; Princeton University; Princeton University,2020,General Fairness & Bias Mitigation,,FAccT,
541,Interventions for Ranking in the Presence of Implicit Bias,https://doi.org/10.1145/3351095.3372858,L. Elisa Celis; Anay Mehrotra; Nisheeth K. Vishnoi,USA; India; USA,Yale University; Indian Institute of Technology Kanpur; Yale University,2020,General Fairness & Bias Mitigation,,FAccT,
542,"Counterfactual Risk Assessments, Evaluation, and Fairness",https://doi.org/10.1145/3351095.3372851,Amanda Coston; Alan Mishler; Edward H. Kennedy; Alexandra Chouldechova,USA; USA; USA; USA,Carnegie Mellon University; Carnegie Mellon University; Carnegie Mellon University; Carnegie Mellon University,2020,General Fairness & Bias Mitigation,,FAccT,
543,Case Study: Predictive Fairness to Reduce Misdemeanor Recidivism Through Social Service Interventions,https://doi.org/10.1145/3351095.3372863,Kit T. Rodolfa; Erika Salomon; Lauren Haynes; Iván Higuera Mendieta; Jamie Larson; Rayid Ghani,USA; USA; USA; USA; USA; USA,Carnegie Mellon University; University of Chicago; University of Chicago; University of Chicago; Office of the Attorney General; Carnegie Mellon University,2020,General Fairness & Bias Mitigation,,FAccT,
544,The False Promise of Risk Assessments: Epistemic Reform and the Limits of Fairness,https://doi.org/10.1145/3351095.3372869,Ben Green,USA,Harvard University,2020,General Fairness & Bias Mitigation,,FAccT,
545,On the Apparent Conflict Between Individual and Group Fairness,https://doi.org/10.1145/3351095.3372864,Reuben Binns,United Kingdom,University of Oxford,2020,General Fairness & Bias Mitigation,,FAccT,
546,Fairness Is Not Static: Deeper Understanding of Long Term Fairness via Agents and Environments,https://doi.org/10.1145/3351095.3372878,Alexander D'Amour; Hansa Srinivasan; James Atwood; Pallavi Baljekar; D. Sculley; Yoni Halpern,USA; USA; USA; USA; USA; USA,Google; Google; Google; Google; Google; Google,2020,General Fairness & Bias Mitigation,,FAccT,
547,Data in New Delhi's Predictive Policing System,https://doi.org/10.1145/3351095.3372865,Vidushi Marda; Shivangi Narayan,; India,; Jawaharlal Nehru University,2020,General Fairness & Bias Mitigation,,FAccT,
