Country,Authors,Papers
USA,1415,391
UK,219,79
China,257,60
Germany,163,59
Canada,74,35
Netherlands,68,30
Italy,58,28
India,66,25
France,43,24
Australia,49,21
Switzerland,43,20
Spain,32,14
Austria,24,12
Singapore,31,10
Denmark,29,10
Japan,34,9
Sweden,29,9
Hong Kong,22,9
Ireland,15,9
Belgium,14,9
South Korea,20,7
Greece,17,6
Israel,15,6
United Arab Emirates,9,6
Brazil,14,5
Taiwan,15,4
New Zealand,12,4
Malaysia,11,4
Turkey,8,4
Pakistan,6,4
Norway,4,4
Portugal,4,4
Finland,9,3
Indonesia,9,3
Luxembourg,8,3
South Africa,6,3
Algeria,4,3
Jordan,4,3
Slovakia,4,3
Thailand,10,2
Morocco,6,2
Saudi Arabia,5,2
Vietnam,4,2
Bangladesh,3,2
Iran,3,2
Macau,3,2
Bulgaria,2,2
Kenya,2,2
Qatar,4,1
Egypt,3,1
Romania,3,1
Peru,2,1
Ukraine,2,1
Argentina,1,1
Botswana,1,1
Chile,1,1
Colombia,1,1
El Salvador,1,1
Ghana,1,1
North Macedonia,1,1
Philippines,1,1
Poland,1,1
Russia,1,1
Serbia,1,1
