University,Domain,Count
Academic College of Tel Aviv-Yafo,General Fairness & Bias Mitigation,1
Althire AI,Graph-based Fairness & Bias Mitigation,1
Bennett University,Health & Clinical AI,1
Brigham and Women's Hospital,Health & Clinical AI,1
Cape Breton University,Health & Clinical AI,1
Cardiovascular Institute of the South,Health & Clinical AI,1
Carnegie Mellon University,General Fairness & Bias Mitigation,1
Carnegie Mellon University,Health & Clinical AI,1
Carnegie Mellon University,LLM and NLP,1
Columbia University,Graph-based Fairness & Bias Mitigation,1
Cornell University,General Fairness & Bias Mitigation,1
Deakin University,Graph-based Fairness & Bias Mitigation,1
Florida International University,LLM and NLP,1
Fraunhofer Institute for Digital Medicine,Health & Clinical AI,1
Harvard University,Health & Clinical AI,1
Haverford College,General Fairness & Bias Mitigation,1
Heinrich-Heine-Universität Düsseldorf,General Fairness & Bias Mitigation,1
IBM Research,General Fairness & Bias Mitigation,1
IBM Research India,General Fairness & Bias Mitigation,1
Iowa State University,General Fairness & Bias Mitigation,2
Jilin University,LLM and NLP,1
KAIST,General Fairness & Bias Mitigation,1
L3S Research Center & Leibniz University Hannover,General Fairness & Bias Mitigation,1
Laboratoire Hubert Curien,Graph-based Fairness & Bias Mitigation,1
Leibniz University Hannover,Graph-based Fairness & Bias Mitigation,1
MIT,General Fairness & Bias Mitigation,1
MIT,Health & Clinical AI,1
Macquarie University,Health & Clinical AI,1
Max Planck Institute for Software Systems,General Fairness & Bias Mitigation,1
Michigan State University,General Fairness & Bias Mitigation,1
Microsoft,Recommender Systems,1
Microsoft Research,General Fairness & Bias Mitigation,1
National Taiwan University,LLM and NLP,1
North Carolina State University,General Fairness & Bias Mitigation,2
Northeastern University,LLM and NLP,1
Northwestern University,Health & Clinical AI,1
Renmin University of China,LLM and NLP,1
Rutgers University,General Fairness & Bias Mitigation,1
Rutgers University,Recommender Systems,4
Saarland University,Graph-based Fairness & Bias Mitigation,1
Simula Research Laboratory,General Fairness & Bias Mitigation,1
Stanford University,General Fairness & Bias Mitigation,1
Stanford University,LLM and NLP,2
Tel Aviv University,General Fairness & Bias Mitigation,1
Texas A&M University,LLM and NLP,1
The Alan Turing Institute,General Fairness & Bias Mitigation,1
The Hebrew University of Jerusalem,LLM and NLP,1
The Hong Kong Polytechnic University,Recommender Systems,1
The Ohio State University,General Fairness & Bias Mitigation,1
The Open University,Graph-based Fairness & Bias Mitigation,1
UC Riverside,LLM and NLP,1
UCLA,LLM and NLP,1
United States Food and Drug Administration,Health & Clinical AI,1
Universitat Ramon Llull,LLM and NLP,1
University College Dublin,General Fairness & Bias Mitigation,1
University College London,General Fairness & Bias Mitigation,6
University Hospital of Zurich,Health & Clinical AI,1
University of Cagliari,Recommender Systems,1
University of Central Florida,Health & Clinical AI,1
University of Copenhagen,LLM and NLP,1
University of Hong Kong,LLM and NLP,1
University of Illinois Chicago,General Fairness & Bias Mitigation,1
University of Maryland Baltimor,Graph-based Fairness & Bias Mitigation,1
University of Michigan,Health & Clinical AI,1
University of Minnesota,General Fairness & Bias Mitigation,1
University of Notre Dame,LLM and NLP,1
University of Oxford,LLM and NLP,1
University of Padua,General Fairness & Bias Mitigation,1
University of Pennsylvania,General Fairness & Bias Mitigation,1
University of Pennsylvania,Health & Clinical AI,1
University of Pisa,General Fairness & Bias Mitigation,1
University of Southern California,General Fairness & Bias Mitigation,2
University of Victoria,LLM and NLP,1
University of Virginia,LLM and NLP,1
University of Washington,General Fairness & Bias Mitigation,1
University of Washington Bothell,LLM and NLP,1
University of Wollongong,General Fairness & Bias Mitigation,1
University of Zurich,General Fairness & Bias Mitigation,1
Université de Toulouse,General Fairness & Bias Mitigation,1
Université du Québec à Montréal,General Fairness & Bias Mitigation,1
Westlake University,LLM and NLP,1
Yonsei University,General Fairness & Bias Mitigation,1
Yıldız Technical University,General Fairness & Bias Mitigation,1
Zhongguancun Laboratory,LLM and NLP,1
École Polytechnique,General Fairness & Bias Mitigation,1
